project_component,closest_literature,status,comparison,research_value_next
"Prime wheels 2,3,5,...","Eratosthenes sieve; primorial wheel; Euler totient; Mertens product","classical rediscovery","Same local divisibility structure and survivor-density product","Use as intuitive basis, not novelty claim"
"Prime-square sieve boundary","Classical sieve stopping at sqrt(x)","classical rediscovery","Same reason composites below the next prime square have a smaller prime factor","Useful bridge to interval design"
"Counts between p_n^2 and p_(n+1)^2","Brocard conjecture; OEIS A050216; short-interval literature","known object, custom analysis","Exact count sequence is catalogued; our statistical diagnostics are implementation-specific","Scale analysis and compare with short-interval asymptotics"
"Independent 1/log(x) baseline","Cramer 1936","known model","Our first Poisson/independence baseline is essentially Cramer","Use only as baseline"
"Under-dispersion of prime counts","Montgomery-Soundararajan 2004","known qualitative phenomenon","Our R<1 observation matches reduced short-interval variance relative to naive independence","Test scaling in X and H"
"Negative lag-1 / anti-persistence","Goldston-Montgomery 1987; Montgomery-Soundararajan 2004; Leung 2026","directly represented in modern literature","Leung proves a multivariate Gaussian law with weak negative correlations for weighted counts in multiple short intervals under RH+LI; our finite adjacent-prime-square experiment is a computational analogue","Compare our covariance matrix directly with Leung's asymptotic covariance regime"
"Theory-aligned weighted psi moving-window test","Leung 2026 Joint distribution of primes in multiple short intervals","direct finite-range comparison","For delta=0.001 and 0.002 the measured adjacent correlations have the predicted negative sign and comparable magnitude; the secondary variance term improves finite-range agreement","Repeat at larger X and smaller delta to test convergence and covariance-kernel scaling"
"Mixed moments across multiple intervals","Leung 2025 Pseudorandomness of primes at large scales","modern direct analogue","Uniform k-tuple information controls mixed moments and yields Poisson point-process behavior in the appropriate regime","Use as theoretical guide only after the pair-covariance regime is reproduced"
"Wheel-constrained independent survivor model","Granville refinement of Cramer","known model family","Conditioning on small-prime residue restrictions is a standard refinement","Measure finite-range calibration limits"
"Variance of wheel survivors","Gorodetsky 2024","direct modern analogue","Rough/sifted numbers themselves have non-naive variance","Use theoretical rough-number variance as null"
"Random forbidden residue class modulo each prime","Banks-Ford-Tao 2023","very close published model","Their random sifted set uses independently chosen forbidden residue classes; conceptually very close to our point model","Align simulator more exactly with published model"
"Pair weights by distance h","Hardy-Littlewood singular series","classical","Our local g_r(h) is the pair case of the singular-series factor","Use to validate simulator, not as novelty"
"Pair covariance at interval level","Montgomery-Soundararajan variance plus covariance identity; Leung 2026","derived from known theory and directly paralleled by recent multivariate work","Our pair-Gaussian simulator reproduces lag structure, runs within Monte Carlo tolerance, monotone triples, and all eight sign-triple patterns without an explicit triple parameter","Make the point-level generator reproduce this full pair covariance kernel before adding higher-order structure"
"Fixed base wheel q0 plus random tail Q plus per-interval thinning","Random-sieve literature; no exact match found in current review","custom experimental construction","Per-interval thinning preserving mu_i is a control device rather than a standard prime model","Separate diagnostic model from generative model"
"Sweep q0 with fixed Q=7919","No exact published match found in current review","custom experimental diagnostic","Balance score over R, lag-1 and runs appears project-specific","Repeat at multiple X and Q to seek a scaling law"
"Explicit triple model / k=3","Hardy-Littlewood k-tuple conjecture; Gallagher singular-series averages; Leung mixed moments","classical framework, experiment currently deferred","A 50,000-run pair-Gaussian test already explains monotone triples almost exactly and finds no significant anomaly in the eight sign-triple patterns; runs has p about 0.148","Do not promote k=3 yet; first reproduce the pair covariance kernel in the point-level model and retest higher-order diagnostics"
"Minimum structure needed to imitate primes","Probabilistic prime models; random sieves; k-tuple pseudorandomness","research-program question","Not a standard scalar notion; our operational definition via multiple statistics is custom","Define metric family and convergence criterion, then study scaling in X, H, q0, Q and model order"
